GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
airline-service,com.skybooker.airline.entity,Airline,310,59,66,0,1,10,38,17,5,17
airline-service,com.skybooker.airline.entity,Airport,343,66,66,0,1,11,38,19,5,19
airline-service,com.skybooker.airline.security,JwtUtil,48,12,2,0,14,3,4,2,3,2
airline-service,com.skybooker.airline.security,JwtFilter,63,10,10,0,16,4,6,2,1,2
airline-service,com.skybooker.airline.service,AirlineServiceImpl,142,547,2,12,29,106,11,24,9,19
airline-service,com.skybooker.airline.dto,AirlineRequest,251,45,54,0,1,8,32,13,5,13
airline-service,com.skybooker.airline.dto,AirportResponse,403,49,74,0,9,4,50,13,13,13
airline-service,com.skybooker.airline.dto,AirportRequest,307,59,58,0,1,10,34,17,5,17
airline-service,com.skybooker.airline.dto,AirlineResponse,358,54,74,0,5,7,46,15,9,15
airline-service,com.skybooker.airline.config,SecurityConfig,70,128,0,0,16,19,2,6,2,6
airline-service,com.skybooker.airline.config,GlobalExceptionHandler,63,3,0,0,12,1,2,1,2,1
airline-service,com.skybooker.airline.controller,AirlineController,77,6,0,0,13,1,13,1,13,1
airline-service,com.skybooker.airline,AirlineServiceApplication,5,3,0,0,2,1,1,1,1,1
