GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seat-service,com.skybooker.seat,SeatServiceApplication,5,3,0,0,2,1,1,1,1,1
seat-service,com.skybooker.seat.config,SecurityConfig,70,104,0,0,16,16,2,6,2,6
seat-service,com.skybooker.seat.config,SchedulingConfig,0,3,0,0,0,1,0,1,0,1
seat-service,com.skybooker.seat.config,GlobalExceptionHandler,63,3,0,0,12,1,2,1,2,1
seat-service,com.skybooker.seat.dto,SeatRequest,295,66,54,0,1,11,32,19,5,19
seat-service,com.skybooker.seat.dto,SeatResponse,467,67,86,0,10,6,57,18,14,18
seat-service,com.skybooker.seat.entity,Seat,404,87,78,0,1,14,44,25,5,25
seat-service,com.skybooker.seat.service,SeatServiceImpl,112,432,5,13,21,92,11,16,6,12
seat-service,com.skybooker.seat.security,JwtUtil,48,12,2,0,14,3,4,2,3,2
seat-service,com.skybooker.seat.security,JwtFilter,63,10,10,0,16,4,6,2,1,2
seat-service,com.skybooker.seat.controller,SeatController,53,6,0,0,8,1,8,1,8,1
